word,explanation
言不逮意,说的话不能准确地表达思想内容。同言不达意。
霄壤之别,天和地，一极在上，一级在下，比喻差别极大。
重关击柝,设置重门，击柝（木梆）巡夜。指警戒森严。
寓情于景,在景色的描写中寄托情感。
泽及枯骨,泽恩泽；枯骨死去已久的人。恩泽及于死者。形容给人恩惠极大。
七纵七擒,比喻善于运用策略，使对方心服。同七纵七禽。
眼花缭乱,缭乱纷乱。看着复杂纷繁的东西而感到迷乱。也比喻事物复杂，无法辨清。
水土不服,对于一个地方的气候条件或饮食习惯不能适应。
捶胸跌脚,表示极为悲伤或悲愤。
不愧不作,愧、怍惭愧。光明正大，问心无愧。
靡知所措,靡无、不。措处理。不知该如何办才好。
贻笑后人,贻留下；后人后世的人。因为荒唐，而让后人耻笑，给后代留下话柄。
余霞成绮,晚霞象美丽的锦缎一样。形容晚霞色彩绚丽。
无妄之福,不期望获得而得到的幸福。
细针密缕,缕线。针线细密。比喻工作细致或处理事情周到。
高阳酒徒,高阳古乡名，在今河南杞县西南。秦末郦其食即此乡人，对刘邦自称高阳酒徒。用以指嗜酒而放荡不羁的人。
窜端匿迹,比喻掩盖事情的真相。
刀耕火耘,犹刀耕火种。
重岩叠障,山峰一个连着一个，连绵不断。
傍观冷眼,傍通旁。用冷眼或冷淡的态度在一旁瞧着。
东走西顾,比喻顾虑多。
出奇划策,犹言出谋划策。
河清社鸣,为太平祥瑞的象征。
拨乱反正,拨治理；乱指乱世；反通返，回复。消除混乱局面，恢复正常秩序。
沉默寡言,沉默不出声；寡少。不声不响，很少说话。
睹着知微,从明显的表象，推知到隐微的内情。
老泪纵横,纵横交错。老人泪流满面，形容极度悲伤或激动。
无济于事,济补益，帮助。对事情没有什么帮助或益处。比喻不解决问题。
打凤捞龙,凤、龙这里指人才。比喻搜索、物色难得的人才。
句栉字比,犹言逐字逐句仔细推敲。
铜墙铁壁,原比喻防御十分坚固，不可摧毁。也比喻团结一致。
小不忍则乱大谋,小事不忍耐就会坏了大事。
小廉曲谨,细微的廉洁谨慎。指注意小节而不识大体。
唠唠叨叨,说话罗嗦，一说起来没个完。
雕肝琢膂,比喻写作的刻意锤炼。同雕肝琢肾。
一口吸尽西江水,原是一气呵成、贯通万法的意思。比喻过于性急，想一下子就达到目的。
蹈仁履义,遵循仁义之道。
覆盂之安,像覆置的盂那样安稳。比喻稳固，不可动摇。亦作覆盂之固。
遗黎故老,指前朝留下的历经世变的老人。
洞烛其奸,洞透彻；烛照见；奸奸诈。对别人的阴谋诡计看得很清楚。
电照风行,如电光之照耀，如风之流动。比喻影响甚大。
尘羹涂饭,涂泥。尘做的羹，泥做的饭。指儿童游戏。比喻没有用处的东西。
见几而作,几苗头；作行动。指发现一点苗头就立刻采取措施。
动如脱兔,比喻行动敏捷。
干净利落,利落灵活敏捷，也指整齐，有条理。形容没有多余的东西。令人爽心悦目。也形容动作熟练、敏捷准确。
倚门献笑,旧指妓女卖淫。同倚门卖笑。
人非圣贤，孰能无过,旧时指一般人犯错误是难免的。
整冠纳履,比喻易招惹嫌疑的行动。
鸟惊鱼溃,溃溃散。象鸟惊飞，象鱼溃散而逃。形容军队因受惊扰而乱纷纷地四下溃散。
铁画银钩,画笔画；钩钩勒。形容书法刚键柔美。
梦魂颠倒,比喻心神恍惚，失去常态。
惊惶失措,失措失去常态。由于惊慌，一下子不知怎么办才好。
有脚阳春,承春指春天。旧时称赞好官的话。
冰心一片,冰心清洁的心。形容性情淡泊，不求名利。
獐头鼠目,像袋象獐子那样又小又尖，眼睛像老鼠那样又小又圆。形容人相貌丑陋，神情狡滑。
杀气腾腾,杀气凶恶的气势；腾腾气势旺盛的样子。形容充满了要杀人的凶狠气势。
敲冰戛玉,比喻乐声清润动听。
熬更守夜,指熬夜。
真情实感,真挚的感情，实在的感受。
公正不阿,公平正直而不曲意迎合。
同声共气,比喻亲密无间，志趣相合。
擒贼擒王,擒抓，捉。指作战要先抓主要敌手。比喻作事要抓住要害。
狭路相逢,在很窄的路上相遇，没有地方可让。多用来指仇人相见，彼此都不肯轻易放过。
自信不疑,相信自己，绝不怀疑。
使羊将狼,将统率，指挥。派羊去指挥狼。比喻不足以统率指挥。也比喻使仁厚的人去驾驭强横而有野心的人，这要坏事。
带金佩紫,金金印。紫紫绶。带着金印，佩着紫绶。形容地位非常显赫。
代代相传,一代接一代地相继传下去。
源远流长,源头很远，水流很长。比喻历史悠久。
车马盈门,车子充满门庭，比喻宾客很多。
酌古参今,指斟酌古今之事，互相参照。
赤壁鏖兵,鏖激战『献帝建安十三年，曹操大军伐吴，孙权联合刘备军队联合抗曹，联军于赤壁用火攻大破曹兵的一次激战。泛指激烈的战斗。
无精打彩,形容不高兴，提不起劲儿。
光天化日,光天最大的天，大白天；化日生长万物的太阳。原形容太平盛世。比喻大家看得非常清楚的场合。
虎珀拾芥,琥珀摩擦后生电，能吸引细小的东西。比喻互相感应。
不折不扣,折、扣出售商品时，按定价减去的成数。没有折扣，表示完全、十足的意思。
众寡悬殊,形容双方人力的多少相差极大。
水月观音,佛经谓观音菩萨有三十三个不同形象的法身，画作观水中月影状的称水月观音。见《法华经·普门品》。用以喻人物仪容清。
砥砺名号,指自修品节，以保令名。同砥厉名号。
拈花一笑,比喻心心相印、会心。
无倚无靠,形容孤苦无依。同无依无靠。
骚人墨士,指诗人、作家等风雅的文人。同骚人墨客。
割肉饲虎,饲喂。割下身上的肉喂老虎。比喻既舍弃生命也无法满足对方的贪欲。
擦拳抹掌,形容战斗或劳动之前，人们精神振奋，跃跃欲试的样子。同摩拳擦掌。
接风洗尘,指设宴款待远来的客人，以示慰问和欢迎。
倒因为果,颠倒因果关系，把原因说成结果。
赫赫之功,赫赫盛大显著貌。显赫的业绩。形容功劳极大。
神出鬼入,出出现。象神鬼那样出没无常。形容出没无常，不可捉摸。泛指行动变化迅速。
分形共气,形容父母与子女的关系十分密切。亦用于兄弟间。
武艺超群,武艺武术上的本领。也指军事、战斗的本领。形容武艺高强，超出一般人。
辗转反侧,辗转翻来复去；反侧反复。翻来复去，睡不着觉。形容心里有所思念或心事重重。
鹤背扬州,比喻利欲之心。
披古通今,披翻阅。通通晓。研究历史，通晓古今。
身远心近,指身体相隔虽远，但是双方的心却贴得很近。
富室大家,泛称广有资财的大户人家。
三街六巷,泛指大街小巷。
沧浪老人,指隐者、渔父。
视若路人,看做路上遇到的陌生人。指与亲人或熟人非常疏远。
天长日久,时间长，日子久。
长材茂学,指才能高学问大的人。
数黄道黑,数落着黄的又说着黑的。形容说话罗索，东拉西扯。
瑶池女使,传说西王母住在瑶池，以青鸟为使者，向汉武帝传递消息。指传信的使者。
鼓鼓囊囊,软外皮中塞得圆鼓鼓的；藏物凸起的样子。
串亲访友,走亲戚，看朋友。
黑漆一团,①指墨团。②形容非弛暗，没有一点光明。或对人对事一无所知。
互剥痛疮,比喻互揭阴私。
高官极品,品等级、品级。官位居于最高的等级。
流风遗迹,前代流传下来的风尚、陈迹。亦作流风遗躅。
廉可寄财,能够以钱财相托。指十分廉洁的人。
驷不及舌,驷古时由四匹马拉的车；舌指说的话。一句话说出口，四匹马拉的车也追不回。比喻一句话说出来，再也无法收回。
灰心丧意,犹言灰心丧气。形容因失败或不顺利而失去信心，意志消沉。
风流才子,旧指洒脱不拘，富有才学的人。
弃旧怜新,怜爱。多指男子抛弃旧宠，爱上新欢。
口诵心维,口里念诵，心里思考。
饰情矫行,指掩饰自己的真心本意，行为矫揉造作。
妙言要道,妙神妙，深微；要重要，中肯。中肯的名言，深微的道理。
古肥今瘠,比喻书法的不同风格。
头上末下,第一次，初次。也指从上到下，从头到尾。
口血未干,古时订立盟约，要在嘴上涂上牲口的血。指订约不久就毁约。
率土同庆,犹言普天同庆。天下的人或全国的人共同庆祝。
苦海无边,原为佛家语，形容深重无比的苦难。惩回头是岸连用。
彰往考来,指彰明往事，考察未来。
阆苑琼楼,阆空旷，宽阔；琼赤色玉。广大的园林，华美的楼阁。传说中的神仙住处。也指皇帝贵族的宫苑。
多愁多病,旧时形容才子佳人的娇弱。
明公正气,犹言正式；公开；堂堂正正。
飞将数奇,比喻能人而遭遇不佳。
过江之鲫,东晋王朝在江南建立后，北方士族纷纷来到江南，当时有人说过江名士多于鲫。比喻某种时兴的事物非常多。
